Date	Time	Anime Name	Season	Episode
Jun 24, 2021	07:58 PM IST	Code Geass	1	1
Jun 25, 2021	01:05 AM IST	Code Geass	1	2
Jun 25, 2021	01:27 AM IST	Code Geass	1	3
Jun 25, 2021	01:49 AM IST	Code Geass	1	4
Jun 25, 2021	03:18 PM IST	Code Geass	1	5
Jun 25, 2021	03:42 PM IST	Code Geass	1	6
Jun 25, 2021	04:04 PM IST	Code Geass	1	7
Jun 25, 2021	04:32 PM IST	Code Geass	1	8
Jun 25, 2021	06:54 PM IST	Code Geass	1	9
Jun 25, 2021	07:22 PM IST	Code Geass	1	10
Jun 26, 2021	12:06 AM IST	Code Geass	1	11
Jun 26, 2021	12:30 AM IST	Code Geass	1	12
Jun 26, 2021	01:01 AM IST	Code Geass	1	13
Jun 26, 2021	01:27 AM IST	Code Geass	1	14
Jun 26, 2021	01:52 AM IST	Code Geass	1	15
Jun 26, 2021	06:12 PM IST	Code Geass	1	16
Jun 26, 2021	06:37 PM IST	Code Geass	1	17
Jun 26, 2021	06:59 PM IST	Code Geass	1	18
Jun 26, 2021	07:52 PM IST	Code Geass	1	19
Jun 26, 2021	08:20 PM IST	Code Geass	1	20
Jun 26, 2021	08:47 PM IST	Code Geass	1	21
Jun 26, 2021	09:50 PM IST	Code Geass	1	22
Jun 26, 2021	10:17 PM IST	Code Geass	1	23
Jun 27, 2021	12:03 AM IST	Code Geass	1	24
Jun 27, 2021	12:29 AM IST	Code Geass	1	25
Jun 27, 2021	12:51 AM IST	Code Geass	2	1
Jun 27, 2021	01:15 AM IST	Code Geass	2	2
Jun 27, 2021	03:36 PM IST	Code Geass	2	3
Jun 27, 2021	04:00 PM IST	Code Geass	2	4
Jun 27, 2021	04:29 PM IST	Code Geass	2	5
Jun 27, 2021	06:45 PM IST	Code Geass	2	6
Jun 27, 2021	07:09 PM IST	Code Geass	2	7
Jun 27, 2021	07:34 PM IST	Code Geass	2	8
Jun 27, 2021	08:25 PM IST	Code Geass	2	9
Jun 27, 2021	08:57 PM IST	Code Geass	2	10
Jun 27, 2021	11:15 PM IST	Code Geass	2	11
Jun 27, 2021	11:43 PM IST	Code Geass	2	12
Jun 28, 2021	12:08 AM IST	Code Geass	2	13
Jun 28, 2021	12:31 AM IST	Code Geass	2	14
Jun 28, 2021	12:57 AM IST	Code Geass	2	15
Jun 28, 2021	01:23 AM IST	Code Geass	2	16
Jun 28, 2021	12:34 PM IST	Code Geass	2	17
Jun 28, 2021	12:59 PM IST	Code Geass	2	18
Jun 28, 2021	01:20 PM IST	Code Geass	2	19
Jun 28, 2021	01:41 PM IST	Code Geass	2	20
Jun 28, 2021	02:42 PM IST	Code Geass	2	21
Jun 28, 2021	03:06 PM IST	Code Geass	2	22
Jun 28, 2021	05:25 PM IST	Code Geass	2	23
Jun 28, 2021	05:47 PM IST	Code Geass	2	24
Jun 28, 2021	08:30 PM IST	Code Geass	2	25
Aug 21, 2021	07:02 PM IST	Fullmetal Alchemist: Brotherhood	1	1
Aug 21, 2021	07:27 PM IST	Fullmetal Alchemist: Brotherhood	1	2
Aug 21, 2021	11:32 PM IST	Fullmetal Alchemist: Brotherhood	1	3
Aug 21, 2021	11:55 PM IST	Fullmetal Alchemist: Brotherhood	1	4
Aug 22, 2021	12:17 AM IST	Fullmetal Alchemist: Brotherhood	1	5
Aug 22, 2021	12:38 AM IST	Fullmetal Alchemist: Brotherhood	1	6
Aug 22, 2021	12:59 AM IST	Fullmetal Alchemist: Brotherhood	1	7
Aug 22, 2021	01:20 AM IST	Fullmetal Alchemist: Brotherhood	1	8
Aug 22, 2021	11:42 AM IST	Fullmetal Alchemist: Brotherhood	1	9
Aug 22, 2021	12:03 PM IST	Fullmetal Alchemist: Brotherhood	1	10
Aug 22, 2021	12:27 PM IST	Fullmetal Alchemist: Brotherhood	1	11
Aug 22, 2021	12:49 PM IST	Fullmetal Alchemist: Brotherhood	1	12
Aug 22, 2021	01:45 PM IST	Fullmetal Alchemist: Brotherhood	1	13
Aug 22, 2021	02:07 PM IST	Fullmetal Alchemist: Brotherhood	1	14
Aug 22, 2021	02:28 PM IST	Fullmetal Alchemist: Brotherhood	1	15
Aug 22, 2021	09:44 PM IST	Fullmetal Alchemist: Brotherhood	1	16
Aug 22, 2021	10:08 PM IST	Fullmetal Alchemist: Brotherhood	1	17
Aug 22, 2021	10:29 PM IST	Fullmetal Alchemist: Brotherhood	1	18
Aug 22, 2021	10:51 PM IST	Fullmetal Alchemist: Brotherhood	1	19
Aug 22, 2021	11:14 PM IST	Fullmetal Alchemist: Brotherhood	1	20
Aug 22, 2021	11:36 PM IST	Fullmetal Alchemist: Brotherhood	1	21
Aug 24, 2021	06:57 AM IST	Fullmetal Alchemist: Brotherhood	1	22
Aug 24, 2021	07:18 AM IST	Fullmetal Alchemist: Brotherhood	1	23
Aug 24, 2021	07:40 AM IST	Fullmetal Alchemist: Brotherhood	1	24
Aug 24, 2021	08:01 AM IST	Fullmetal Alchemist: Brotherhood	1	25
Aug 24, 2021	08:22 AM IST	Fullmetal Alchemist: Brotherhood	1	26
Aug 24, 2021	10:30 PM IST	Fullmetal Alchemist: Brotherhood	1	27
Aug 24, 2021	10:53 PM IST	Fullmetal Alchemist: Brotherhood	1	28
Aug 24, 2021	11:15 PM IST	Fullmetal Alchemist: Brotherhood	1	29
Aug 24, 2021	11:36 PM IST	Fullmetal Alchemist: Brotherhood	1	30
Aug 24, 2021	11:58 PM IST	Fullmetal Alchemist: Brotherhood	1	31
Aug 25, 2021	12:20 AM IST	Fullmetal Alchemist: Brotherhood	1	32
Aug 25, 2021	05:11 PM IST	Fullmetal Alchemist: Brotherhood	1	33
Aug 25, 2021	05:31 PM IST	Fullmetal Alchemist: Brotherhood	1	34
Aug 25, 2021	10:28 PM IST	Fullmetal Alchemist: Brotherhood	1	35
Aug 25, 2021	10:50 PM IST	Fullmetal Alchemist: Brotherhood	1	36
Aug 25, 2021	11:11 PM IST	Fullmetal Alchemist: Brotherhood	1	37
Aug 25, 2021	11:47 PM IST	Fullmetal Alchemist: Brotherhood	1	38
Aug 26, 2021	12:08 AM IST	Fullmetal Alchemist: Brotherhood	1	39
Aug 26, 2021	12:34 AM IST	Fullmetal Alchemist: Brotherhood	1	40
Aug 26, 2021	12:55 AM IST	Fullmetal Alchemist: Brotherhood	1	41
Aug 26, 2021	01:16 AM IST	Fullmetal Alchemist: Brotherhood	1	42
Aug 26, 2021	01:38 AM IST	Fullmetal Alchemist: Brotherhood	1	43
Aug 26, 2021	10:41 PM IST	Fullmetal Alchemist: Brotherhood	1	44
Aug 26, 2021	11:01 PM IST	Fullmetal Alchemist: Brotherhood	1	45
Aug 26, 2021	11:24 PM IST	Fullmetal Alchemist: Brotherhood	1	46
Aug 26, 2021	11:44 PM IST	Fullmetal Alchemist: Brotherhood	1	47
Aug 27, 2021	12:05 AM IST	Fullmetal Alchemist: Brotherhood	1	48
Aug 27, 2021	12:24 AM IST	Fullmetal Alchemist: Brotherhood	1	49
Aug 27, 2021	12:47 AM IST	Fullmetal Alchemist: Brotherhood	1	50
Aug 27, 2021	01:10 AM IST	Fullmetal Alchemist: Brotherhood	1	51
Aug 27, 2021	01:31 AM IST	Fullmetal Alchemist: Brotherhood	1	52
Aug 27, 2021	01:56 AM IST	Fullmetal Alchemist: Brotherhood	1	53
Aug 27, 2021	02:17 AM IST	Fullmetal Alchemist: Brotherhood	1	54
Aug 28, 2021	01:13 AM IST	Fullmetal Alchemist: Brotherhood	1	55
Aug 28, 2021	01:35 AM IST	Fullmetal Alchemist: Brotherhood	1	56
Aug 28, 2021	01:56 AM IST	Fullmetal Alchemist: Brotherhood	1	57
Aug 28, 2021	02:17 AM IST	Fullmetal Alchemist: Brotherhood	1	58
Aug 28, 2021	02:39 AM IST	Fullmetal Alchemist: Brotherhood	1	59
Aug 28, 2021	03:00 AM IST	Fullmetal Alchemist: Brotherhood	1	60
Aug 28, 2021	03:21 AM IST	Fullmetal Alchemist: Brotherhood	1	61
Aug 28, 2021	09:19 AM IST	Fullmetal Alchemist: Brotherhood	1	62
Aug 28, 2021	09:40 AM IST	Fullmetal Alchemist: Brotherhood	1	63
Aug 28, 2021	10:03 AM IST	Fullmetal Alchemist: Brotherhood	1	64
